index,song_id,title,band,selected_ocr,band_ocr,list_ocr,baseline_selected_ok,baseline_list_ok,source_frame
1,24,ときめきエクスペリエンス！,Poppin'Party,ときめきエクスペリエンス!,Poppin'Party,,True,True,frames/0001.jpg
2,25,キラキラだとか夢だとか ～Sing Girls～,Poppin'Party,キラキラだとか夢だとか〜Sing Girls〜,Poppin'Party,キラキラだとか夢だとか〜SingGirls~,True,True,frames/0002.jpg
3,1,Yes! BanG_Dream!,Poppin'Party,Yes! BanG_Dream!,Poppin'Party,Yes! BanG_Dream!,True,True,frames/0003.jpg
4,4,ティアドロップス,Poppin'Party,ティアドロップス,Poppin'Party,ティアドロップス,True,True,frames/0004.jpg
5,3,ぽっぴん'しゃっふる,Poppin'Party,ぽっぴん'しゃっふる,Poppin'Party,ぽっぴん'しゃっふる,True,True,frames/0005.jpg
6,2,STAR BEAT!〜ホシノコドウ〜,Poppin'Party,STAR BEAT!~ホシノコドウ～,Poppin'Party,STAR BEAT!~ホシノコドウ～,True,True,frames/0006.jpg
7,5,夏空 SUN! SUN! SEVEN!,Poppin'Party,夏空 SUN! SUN! SEVEN!,Poppin'Party,夏空 SUN! SUN! SEVEN!,True,True,frames/0007.jpg
8,12,走り始めたばかりのキミに,Poppin'Party,走り始めたばかりのキミに,Poppin'Party,走り始めたばかりのキミに,True,True,frames/0008.jpg
9,13,1000回潤んだ空,Poppin'Party,1000回潤んだ空,Poppin'Party,1000回潤んだ空,True,True,frames/0009.jpg
10,43,前へススメ！,Poppin'Party,前ヘススメ!,Poppin'Party,前ヘススメ!,True,True,frames/0010.jpg
11,45,夢みるSunflower,Poppin'Party,夢みるSunflower,Poppin'Party,夢みるSunflower,True,True,frames/0011.jpg
12,47,キミにもらったもの,Poppin'Party,キミにもらったもの,Poppin'Party,キミにもらったもの,True,True,frames/0012.jpg
13,64,八月のif,Poppin'Party,八月のif,Poppin'Party,八月のif,True,True,frames/0013.jpg
14,73,Time Lapse,Poppin'Party,Time Lapse,Poppin'Party,Time Lapse,True,True,frames/0014.jpg
15,91,クリスマスのうた,Poppin'Party,クリスマスのうた,Poppin'Party,クリスマスのうた,True,True,frames/0015.jpg
16,92,B.O.F,Poppin'Party,B.O.F,Poppin'Party,B.O.F,True,True,frames/0016.jpg
17,95,CiRCLING,Poppin'Party,CiRCLING,Poppin'Party,CiRCLING,True,True,frames/0017.jpg
18,112,Light Delight,Poppin'Party,Light Delight,Poppin'Party,Light Delight,True,True,frames/0018.jpg
19,115,私の心はチョココロネ,Poppin'Party,私の心はチョココロネ,Poppin'Party,私の心はチョココロネ,True,True,frames/0019.jpg
20,122,二重の虹（ダブル レインボウ）,Poppin'Party,二重の虹（ダブルレインボウ）,Poppin'Party,二重の虹（ダブルレインボウ）,True,True,frames/0020.jpg
