ID,中国服歌名,乐队,可用,时长(秒),easy,normal,hard,expert,special,来源
1,Yes! BanG_Dream!,Poppin'Party,True,120.048,5,10,17,22,26,https://bestdori.com/info/songs/1
2,STAR BEAT!〜ホシノコドウ〜,Poppin'Party,True,132.816,7,14,20,25,26,https://bestdori.com/info/songs/2
3,ぽっぴん'しゃっふる,Poppin'Party,True,133.104,7,11,18,24,,https://bestdori.com/info/songs/3
4,ティアドロップス,Poppin'Party,True,150.312,9,13,19,25,27,https://bestdori.com/info/songs/4
5,夏空 SUN! SUN! SEVEN!,Poppin'Party,True,146.184,8,12,19,25,,https://bestdori.com/info/songs/5
8,空色デイズ,Poppin'Party,True,104.928,5,12,20,26,27,https://bestdori.com/info/songs/8
9,ETERNAL BLAZE,Roselia,True,113.928,9,13,19,25,26,https://bestdori.com/info/songs/9
10,Alchemy,Poppin'Party,True,119.256,7,12,19,26,26,https://bestdori.com/info/songs/10
11,Butter-Fly,Afterglow,True,116.544,7,11,20,25,26,https://bestdori.com/info/songs/11
12,走り始めたばかりのキミに,Poppin'Party,True,118.152,7,12,20,25,27,https://bestdori.com/info/songs/12
13,1000回潤んだ空,Poppin'Party,True,152.04,6,12,21,26,,https://bestdori.com/info/songs/13
14,カルマ,Afterglow,True,101.832,6,12,20,26,26,https://bestdori.com/info/songs/14
15,"Don't say ""lazy""",Afterglow,True,126.6,8,12,20,26,25,https://bestdori.com/info/songs/15
16,Hacking to the Gate,Roselia,True,126.6,7,12,18,25,,https://bestdori.com/info/songs/16
17,魂のルフラン,Roselia,True,152.784,6,12,19,25,26,https://bestdori.com/info/songs/17
18,secret base～君がくれたもの～,Pastel＊Palettes,True,143.376,5,12,21,25,,https://bestdori.com/info/songs/18
19,ドリームパレード,Pastel＊Palettes,True,107.64,6,13,20,26,,https://bestdori.com/info/songs/19
20,シュガーソングとビターステップ,"Hello, Happy World！",True,110.976,9,14,21,28,25,https://bestdori.com/info/songs/20
21,いーあるふぁんくらぶ,"Hello, Happy World！",True,113.448,7,11,20,26,26,https://bestdori.com/info/songs/21
22,シルエット,"Hello, Happy World！",True,113.544,7,14,20,25,23,https://bestdori.com/info/songs/22
24,ときめきエクスペリエンス！,Poppin'Party,True,106.728,8,13,18,25,26,https://bestdori.com/info/songs/24
25,キラキラだとか夢だとか ～Sing Girls～,Poppin'Party,True,112.584,8,14,19,25,26,https://bestdori.com/info/songs/25
26,That Is How I Roll!,Afterglow,True,103.056,7,13,18,24,26,https://bestdori.com/info/songs/26
27,True color,Afterglow,True,123.048,6,13,18,25,26,https://bestdori.com/info/songs/27
28,Scarlet Sky,Afterglow,True,108.72,6,12,19,26,26,https://bestdori.com/info/songs/28
29,BLACK SHOUT,Roselia,True,110.016,6,13,18,25,26,https://bestdori.com/info/songs/29
30,Re:birth day,Roselia,True,124.296,7,11,21,29,,https://bestdori.com/info/songs/30
31,LOUDER,Roselia,True,109.819,7,12,21,27,,https://bestdori.com/info/songs/31
32,しゅわりん☆どり～みん,Pastel＊Palettes,True,102.336,6,12,19,24,25,https://bestdori.com/info/songs/32
33,パスパレボリューションず☆,Pastel＊Palettes,True,105.072,7,12,19,25,,https://bestdori.com/info/songs/33
34,はなまる◎アンダンテ,Pastel＊Palettes,True,108.504,8,14,19,25,,https://bestdori.com/info/songs/34
35,えがおのオーケストラっ！,"Hello, Happy World！",True,100.92,6,11,18,23,25,https://bestdori.com/info/songs/35
36,ハピネスっ！ハピィーマジカルっ♪,"Hello, Happy World！",True,101.064,7,12,20,25,26,https://bestdori.com/info/songs/36
37,ゴーカ！ごーかい！？ファントムシーフ！,"Hello, Happy World！",True,101.904,7,14,21,28,25,https://bestdori.com/info/songs/37
40,Happy Happy Party!,Poppin'Party,True,124.056,6,12,19,23,,https://bestdori.com/info/songs/40
41,Don't be afraid!,Glitter*Green,True,120.384,6,12,18,25,27,https://bestdori.com/info/songs/41
42,光るなら,Poppin'Party,True,115.056,7,13,20,24,25,https://bestdori.com/info/songs/42
43,前へススメ！,Poppin'Party,True,135.048,6,13,20,26,,https://bestdori.com/info/songs/43
44,そばかす,Pastel＊Palettes,True,106.092,6,12,19,23,25,https://bestdori.com/info/songs/44
45,夢みるSunflower,Poppin'Party,True,128.856,7,13,19,25,,https://bestdori.com/info/songs/45
46,Little Busters!,Poppin'Party,True,110.55,7,13,19,25,,https://bestdori.com/info/songs/46
47,キミにもらったもの,Poppin'Party,True,105.168,6,13,18,21,,https://bestdori.com/info/songs/47
48,正解はひとつ!じゃない!!,Poppin'Party×Glitter*Green,True,107.064,7,13,20,25,,https://bestdori.com/info/songs/48
49,天体観測,Afterglow×香澄,True,111.84,7,14,19,26,25,https://bestdori.com/info/songs/49
50,MOON PRIDE,Pastel＊Palettes,True,112.44,8,14,20,26,,https://bestdori.com/info/songs/50
51,どきどきSING OUT!,户山香澄,True,114.504,8,14,20,24,,https://bestdori.com/info/songs/51
52,ハッピーサマーウェディング,"Hello, Happy World！",True,110.688,8,14,20,26,,https://bestdori.com/info/songs/52
53,陽だまりロードナイト,Roselia,True,119.232,7,11,19,25,25,https://bestdori.com/info/songs/53
54,great escape,Afterglow,True,91.368,8,13,19,26,,https://bestdori.com/info/songs/54
55,紅蓮の弓矢,Roselia,True,98.856,10,14,21,27,25,https://bestdori.com/info/songs/55
56,熱色スターマイン,Roselia,True,118.776,10,14,22,26,26,https://bestdori.com/info/songs/56
57,花園電気ギター！！！ ,花园多惠,True,106.008,10,14,20,26,,https://bestdori.com/info/songs/57
58,チョコレイトの低音レシピ,牛込里美,True,120.048,6,13,19,25,,https://bestdori.com/info/songs/58
59,ふわふわ時間,Pastel＊Palettes,True,95.4,7,13,20,25,24,https://bestdori.com/info/songs/59
60,ゆら・ゆらRing-Dong-Dance,Pastel＊Palettes,True,105.408,9,14,20,25,,https://bestdori.com/info/songs/60
61,夏のドーン！,Poppin'Party,True,110.304,8,14,19,24,,https://bestdori.com/info/songs/61
62,ひまわりの約束,"Hello, Happy World！",True,130.704,8,13,18,23,,https://bestdori.com/info/songs/62
63,The Everlasting Guilty Crown,Roselia,True,131.928,8,15,22,26,,https://bestdori.com/info/songs/63
64,八月のif,Poppin'Party,True,115.056,7,13,19,24,,https://bestdori.com/info/songs/64
65,Hey-day狂騒曲(カプリチオ),Afterglow,True,110.952,10,15,22,28,26,https://bestdori.com/info/songs/65
66,アスノヨゾラ哨戒班,Afterglow,True,95.4,10,15,21,26,27,https://bestdori.com/info/songs/66
67,only my railgun,Poppin'Party,True,104.952,9,15,21,26,25,https://bestdori.com/info/songs/67
68,YAPPY！SCHOOL CARNIVAL☆彡,"Hello, Happy World！",True,103.32,9,14,20,25,,https://bestdori.com/info/songs/68
